,frame,time,cell number,voltage,resistance,current,power,temperature_1,temperature_2
224,33,18.0,cell_1,4.057,0.303,0.311,7.559477,6353.6,6353.6
225,33,18.0,cell_2,4.0520000000000005,0.302,0.311,7.559477,6353.6,6353.6
226,33,18.0,cell_3,4.0520000000000005,0.301,0.311,7.559477,6353.6,6353.6
227,33,18.0,cell_4,4.049,0.301,0.311,7.559477,6353.6,6353.6
228,33,18.0,cell_5,4.048,0.301,0.311,7.559477,6353.6,6353.6
229,33,18.0,cell_6,4.049,0.302,0.311,7.559477,6353.6,6353.6
230,33,18.0,cell_average,4.051166666666667,0.30166666666666664,0.311,7.559477,6353.6,6353.6
231,34,18.5,cell_1,4.055,0.303,0.311,7.558544,6353.6,6353.6
232,34,18.5,cell_2,4.0520000000000005,0.302,0.311,7.558544,6353.6,6353.6
233,34,18.5,cell_3,4.0520000000000005,0.301,0.311,7.558544,6353.6,6353.6
234,34,18.5,cell_4,4.049,0.301,0.311,7.558544,6353.6,6353.6
235,34,18.5,cell_5,4.048,0.301,0.311,7.558544,6353.6,6353.6
236,34,18.5,cell_6,4.048,0.302,0.311,7.558544,6353.6,6353.6
237,34,18.5,cell_average,4.050666666666667,0.30166666666666664,0.311,7.558544,6353.6,6353.6
238,35,19.0,cell_1,4.057,0.303,0.311,7.559166000000001,6353.6,6353.6
239,35,19.0,cell_2,4.0520000000000005,0.302,0.311,7.559166000000001,6353.6,6353.6
240,35,19.0,cell_3,4.0520000000000005,0.301,0.311,7.559166000000001,6353.6,6353.6
241,35,19.0,cell_4,4.049,0.301,0.311,7.559166000000001,6353.6,6353.6
242,35,19.0,cell_5,4.048,0.301,0.311,7.559166000000001,6353.6,6353.6
243,35,19.0,cell_6,4.048,0.302,0.311,7.559166000000001,6353.6,6353.6
244,35,19.0,cell_average,4.051000000000001,0.30166666666666664,0.311,7.559166000000001,6353.6,6353.6
245,36,19.5,cell_1,4.042,0.303,0.311,7.531486999999999,6353.6,6353.6
246,36,19.5,cell_2,4.038,0.302,0.311,7.531486999999999,6353.6,6353.6
247,36,19.5,cell_3,4.038,0.301,0.311,7.531486999999999,6353.6,6353.6
248,36,19.5,cell_4,4.029,0.301,0.311,7.531486999999999,6353.6,6353.6
249,36,19.5,cell_5,4.035,0.301,0.311,7.531486999999999,6353.6,6353.6
250,36,19.5,cell_6,4.035,0.302,0.311,7.531486999999999,6353.6,6353.6
251,36,19.5,cell_average,4.0361666666666665,0.30166666666666664,0.311,7.531486999999999,6353.6,6353.6
252,37,20.0,cell_1,4.042,0.303,1.0110000000000001,24.478332000000005,6353.6,6353.6
253,37,20.0,cell_2,4.037,0.302,1.0110000000000001,24.478332000000005,6353.6,6353.6
254,37,20.0,cell_3,4.038,0.301,1.0110000000000001,24.478332000000005,6353.6,6353.6
255,37,20.0,cell_4,4.027,0.301,1.0110000000000001,24.478332000000005,6353.6,6353.6
256,37,20.0,cell_5,4.033,0.301,1.0110000000000001,24.478332000000005,6353.6,6353.6
257,37,20.0,cell_6,4.035,0.302,1.0110000000000001,24.478332000000005,6353.6,6353.6
258,37,20.0,cell_average,4.035333333333334,0.30166666666666664,1.0110000000000001,24.478332000000005,6353.6,6353.6
259,38,20.5,cell_1,4.042,0.303,1.0110000000000001,24.478332000000005,6353.6,6353.6
260,38,20.5,cell_2,4.037,0.302,1.0110000000000001,24.478332000000005,6353.6,6353.6
261,38,20.5,cell_3,4.038,0.301,1.0110000000000001,24.478332000000005,6353.6,6353.6
262,38,20.5,cell_4,4.027,0.301,1.0110000000000001,24.478332000000005,6353.6,6353.6
263,38,20.5,cell_5,4.033,0.301,1.0110000000000001,24.478332000000005,6353.6,6353.6
264,38,20.5,cell_6,4.035,0.302,1.0110000000000001,24.478332000000005,6353.6,6353.6
265,38,20.5,cell_average,4.035333333333334,0.30166666666666664,1.0110000000000001,24.478332000000005,6353.6,6353.6
266,39,21.0,cell_1,4.04,0.303,1.0110000000000001,24.473277000000007,6353.6,6353.6
267,39,21.0,cell_2,4.037,0.302,1.0110000000000001,24.473277000000007,6353.6,6353.6
268,39,21.0,cell_3,4.037,0.301,1.0110000000000001,24.473277000000007,6353.6,6353.6
269,39,21.0,cell_4,4.027,0.301,1.0110000000000001,24.473277000000007,6353.6,6353.6
270,39,21.0,cell_5,4.033,0.301,1.0110000000000001,24.473277000000007,6353.6,6353.6
271,39,21.0,cell_6,4.033,0.302,1.0110000000000001,24.473277000000007,6353.6,6353.6
272,39,21.0,cell_average,4.0345,0.30166666666666664,1.0110000000000001,24.473277000000007,6353.6,6353.6
273,40,21.5,cell_1,4.04,0.303,1.0110000000000001,24.473277000000007,6353.6,6353.6
274,40,21.5,cell_2,4.037,0.302,1.0110000000000001,24.473277000000007,6353.6,6353.6
275,40,21.5,cell_3,4.037,0.301,1.0110000000000001,24.473277000000007,6353.6,6353.6
276,40,21.5,cell_4,4.027,0.301,1.0110000000000001,24.473277000000007,6353.6,6353.6
277,40,21.5,cell_5,4.033,0.301,1.0110000000000001,24.473277000000007,6353.6,6353.6
278,40,21.5,cell_6,4.033,0.302,1.0110000000000001,24.473277000000007,6353.6,6353.6
279,40,21.5,cell_average,4.0345,0.30166666666666664,1.0110000000000001,24.473277000000007,6353.6,6353.6
280,41,22.0,cell_1,4.04,0.303,1.0110000000000001,24.469233000000006,6353.6,6353.6
281,41,22.0,cell_2,4.0360000000000005,0.302,1.0110000000000001,24.469233000000006,6353.6,6353.6
282,41,22.0,cell_3,4.0360000000000005,0.301,1.0110000000000001,24.469233000000006,6353.6,6353.6
283,41,22.0,cell_4,4.026,0.301,1.0110000000000001,24.469233000000006,6353.6,6353.6
284,41,22.0,cell_5,4.032,0.301,1.0110000000000001,24.469233000000006,6353.6,6353.6
285,41,22.0,cell_6,4.033,0.302,1.0110000000000001,24.469233000000006,6353.6,6353.6
286,41,22.0,cell_average,4.033833333333334,0.30166666666666664,1.0110000000000001,24.469233000000006,6353.6,6353.6
287,42,23.0,cell_1,4.04,0.303,0.467,11.302801000000002,6353.6,6353.6
288,42,23.0,cell_2,4.0360000000000005,0.302,0.467,11.302801000000002,6353.6,6353.6
289,42,23.0,cell_3,4.0360000000000005,0.301,0.467,11.302801000000002,6353.6,6353.6
290,42,23.0,cell_4,4.026,0.301,0.467,11.302801000000002,6353.6,6353.6
291,42,23.0,cell_5,4.032,0.301,0.467,11.302801000000002,6353.6,6353.6
292,42,23.0,cell_6,4.033,0.302,0.467,11.302801000000002,6353.6,6353.6
293,42,23.0,cell_average,4.033833333333334,0.30166666666666664,0.467,11.302801000000002,6353.6,6353.6
294,43,23.5,cell_1,4.0520000000000005,0.303,0.467,11.341562000000001,6353.6,6353.6
295,43,23.5,cell_2,4.049,0.302,0.467,11.341562000000001,6353.6,6353.6
296,43,23.5,cell_3,4.05,0.301,0.467,11.341562000000001,6353.6,6353.6
297,43,23.5,cell_4,4.047,0.301,0.467,11.341562000000001,6353.6,6353.6
298,43,23.5,cell_5,4.0440000000000005,0.301,0.467,11.341562000000001,6353.6,6353.6
299,43,23.5,cell_6,4.0440000000000005,0.302,0.467,11.341562000000001,6353.6,6353.6
300,43,23.5,cell_average,4.047666666666667,0.30166666666666664,0.467,11.341562000000001,6353.6,6353.6
301,44,24.0,cell_1,4.0520000000000005,0.303,0.311,7.552946,6353.6,6353.6
302,44,24.0,cell_2,4.049,0.302,0.311,7.552946,6353.6,6353.6
303,44,24.0,cell_3,4.05,0.301,0.311,7.552946,6353.6,6353.6
304,44,24.0,cell_4,4.047,0.301,0.311,7.552946,6353.6,6353.6
305,44,24.0,cell_5,4.0440000000000005,0.301,0.311,7.552946,6353.6,6353.6
306,44,24.0,cell_6,4.0440000000000005,0.302,0.311,7.552946,6353.6,6353.6
307,44,24.0,cell_average,4.047666666666667,0.30166666666666664,0.311,7.552946,6353.6,6353.6
308,45,24.5,cell_1,4.053,0.303,0.311,7.554189999999999,6353.6,6353.6
309,45,24.5,cell_2,4.05,0.302,0.311,7.554189999999999,6353.6,6353.6
310,45,24.5,cell_3,4.05,0.301,0.311,7.554189999999999,6353.6,6353.6
311,45,24.5,cell_4,4.047,0.301,0.311,7.554189999999999,6353.6,6353.6
