,frame,cell number,voltage,resistance,current,power
377,54,cell_average,3.8265000000000007,0.30349999999999994,6.227,142.96569300000002
378,55,cell_1,3.88,0.305,6.149,141.11955
379,55,cell_2,3.883,0.304,6.149,141.11955
380,55,cell_3,3.8810000000000002,0.303,6.149,141.11955
381,55,cell_4,3.716,0.303,6.149,141.11955
382,55,cell_5,3.7920000000000003,0.303,6.149,141.11955
383,55,cell_6,3.798,0.303,6.149,141.11955
384,55,cell_average,3.8250000000000006,0.30349999999999994,6.149,141.11955
385,56,cell_1,3.88,0.305,6.227,142.90965000000003
386,56,cell_2,3.883,0.304,6.227,142.90965000000003
387,56,cell_3,3.8810000000000002,0.303,6.227,142.90965000000003
388,56,cell_4,3.716,0.303,6.227,142.90965000000003
389,56,cell_5,3.7920000000000003,0.303,6.227,142.90965000000003
390,56,cell_6,3.798,0.303,6.227,142.90965000000003
391,56,cell_average,3.8250000000000006,0.30349999999999994,6.227,142.90965000000003
392,57,cell_1,3.879,0.305,6.305,144.64930999999999
393,57,cell_2,3.8810000000000002,0.304,6.305,144.64930999999999
394,57,cell_3,3.8810000000000002,0.303,6.305,144.64930999999999
395,57,cell_4,3.714,0.303,6.305,144.64930999999999
396,57,cell_5,3.794,0.303,6.305,144.64930999999999
397,57,cell_6,3.793,0.303,6.305,144.64930999999999
398,57,cell_average,3.8236666666666665,0.30349999999999994,6.305,144.64930999999999
399,58,cell_1,3.879,0.305,6.227,142.859834
400,58,cell_2,3.8810000000000002,0.304,6.227,142.859834
401,58,cell_3,3.8810000000000002,0.303,6.227,142.859834
402,58,cell_4,3.714,0.303,6.227,142.859834
403,58,cell_5,3.794,0.303,6.227,142.859834
404,58,cell_6,3.793,0.303,6.227,142.859834
405,58,cell_average,3.8236666666666665,0.30349999999999994,6.227,142.859834
406,59,cell_1,3.8770000000000002,0.305,6.227,142.778883
407,59,cell_2,3.879,0.304,6.227,142.778883
408,59,cell_3,3.8810000000000002,0.303,6.227,142.778883
409,59,cell_4,3.709,0.303,6.227,142.778883
410,59,cell_5,3.79,0.303,6.227,142.778883
411,59,cell_6,3.793,0.303,6.227,142.778883
412,59,cell_average,3.8215,0.30349999999999994,6.227,142.778883
413,60,cell_1,3.8770000000000002,0.305,6.227,142.778883
414,60,cell_2,3.879,0.304,6.227,142.778883
415,60,cell_3,3.8810000000000002,0.303,6.227,142.778883
416,60,cell_4,3.709,0.303,6.227,142.778883
417,60,cell_5,3.79,0.303,6.227,142.778883
418,60,cell_6,3.793,0.303,6.227,142.778883
419,60,cell_average,3.8215,0.30349999999999994,6.227,142.778883
420,61,cell_1,3.8770000000000002,0.305,6.149,140.93508
421,61,cell_2,3.879,0.304,6.149,140.93508
422,61,cell_3,3.879,0.303,6.149,140.93508
423,61,cell_4,3.705,0.303,6.149,140.93508
424,61,cell_5,3.7880000000000003,0.303,6.149,140.93508
425,61,cell_6,3.7920000000000003,0.303,6.149,140.93508
426,61,cell_average,3.8200000000000003,0.30349999999999994,6.149,140.93508
427,62,cell_1,3.8770000000000002,0.305,6.149,140.93508
428,62,cell_2,3.879,0.304,6.149,140.93508
429,62,cell_3,3.879,0.303,6.149,140.93508
430,62,cell_4,3.705,0.303,6.149,140.93508
431,62,cell_5,3.7880000000000003,0.303,6.149,140.93508
432,62,cell_6,3.7920000000000003,0.303,6.149,140.93508
433,62,cell_average,3.8200000000000003,0.30349999999999994,6.149,140.93508
434,63,cell_1,3.8770000000000002,0.305,6.227,142.71038600000003
435,63,cell_2,3.8810000000000002,0.304,6.227,142.71038600000003
436,63,cell_3,3.875,0.303,6.227,142.71038600000003
437,63,cell_4,3.705,0.303,6.227,142.71038600000003
438,63,cell_5,3.7880000000000003,0.303,6.227,142.71038600000003
439,63,cell_6,3.7920000000000003,0.303,6.227,142.71038600000003
440,63,cell_average,3.819666666666667,0.30349999999999994,6.227,142.71038600000003
441,64,cell_1,3.8770000000000002,0.305,6.071,139.13517800000002
442,64,cell_2,3.8810000000000002,0.304,6.071,139.13517800000002
443,64,cell_3,3.875,0.303,6.071,139.13517800000002
444,64,cell_4,3.705,0.303,6.071,139.13517800000002
445,64,cell_5,3.7880000000000003,0.303,6.071,139.13517800000002
446,64,cell_6,3.7920000000000003,0.303,6.071,139.13517800000002
447,64,cell_average,3.819666666666667,0.30349999999999994,6.071,139.13517800000002
448,65,cell_1,3.8770000000000002,0.305,6.149,140.922782
449,65,cell_2,3.8810000000000002,0.304,6.149,140.922782
450,65,cell_3,3.875,0.303,6.149,140.922782
451,65,cell_4,3.706,0.303,6.149,140.922782
452,65,cell_5,3.79,0.303,6.149,140.922782
453,65,cell_6,3.789,0.303,6.149,140.922782
454,65,cell_average,3.819666666666667,0.30349999999999994,6.149,140.922782
455,66,cell_1,3.8770000000000002,0.305,6.305,144.49799000000002
456,66,cell_2,3.8810000000000002,0.304,6.305,144.49799000000002
457,66,cell_3,3.875,0.303,6.305,144.49799000000002
458,66,cell_4,3.706,0.303,6.305,144.49799000000002
459,66,cell_5,3.79,0.303,6.305,144.49799000000002
460,66,cell_6,3.789,0.303,6.305,144.49799000000002
461,66,cell_average,3.819666666666667,0.30349999999999994,6.305,144.49799000000002
462,67,cell_1,3.879,0.305,6.227,142.67925100000002
463,67,cell_2,3.8770000000000002,0.304,6.227,142.67925100000002
464,67,cell_3,3.872,0.303,6.227,142.67925100000002
465,67,cell_4,3.706,0.303,6.227,142.67925100000002
466,67,cell_5,3.79,0.303,6.227,142.67925100000002
467,67,cell_6,3.789,0.303,6.227,142.67925100000002
468,67,cell_average,3.8188333333333335,0.30349999999999994,6.227,142.67925100000002
469,68,cell_1,3.879,0.305,6.227,142.67925100000002
470,68,cell_2,3.8770000000000002,0.304,6.227,142.67925100000002
471,68,cell_3,3.872,0.303,6.227,142.67925100000002
472,68,cell_4,3.706,0.303,6.227,142.67925100000002
